dataset,domain,split,label,source_type,source_path,source_id,image_name,saved_path,saved_filename
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00012.png,GAN|ffhq_real|00012,00012.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00012_000000.jpg,real_ffhq_real_00012_000000.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00022.png,GAN|ffhq_real|00022,00022.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00022_000001.jpg,real_ffhq_real_00022_000001.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00024.png,GAN|ffhq_real|00024,00024.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00024_000002.jpg,real_ffhq_real_00024_000002.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00053.png,GAN|ffhq_real|00053,00053.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00053_000003.jpg,real_ffhq_real_00053_000003.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00074.png,GAN|ffhq_real|00074,00074.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00074_000004.jpg,real_ffhq_real_00074_000004.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00088.png,GAN|ffhq_real|00088,00088.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00088_000005.jpg,real_ffhq_real_00088_000005.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00089.png,GAN|ffhq_real|00089,00089.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00089_000006.jpg,real_ffhq_real_00089_000006.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00110.png,GAN|ffhq_real|00110,00110.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00110_000007.jpg,real_ffhq_real_00110_000007.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00113.png,GAN|ffhq_real|00113,00113.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00113_000008.jpg,real_ffhq_real_00113_000008.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00142.png,GAN|ffhq_real|00142,00142.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00142_000009.jpg,real_ffhq_real_00142_000009.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00157.png,GAN|ffhq_real|00157,00157.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00157_000010.jpg,real_ffhq_real_00157_000010.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00167.png,GAN|ffhq_real|00167,00167.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00167_000011.jpg,real_ffhq_real_00167_000011.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00178.png,GAN|ffhq_real|00178,00178.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00178_000012.jpg,real_ffhq_real_00178_000012.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00205.png,GAN|ffhq_real|00205,00205.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00205_000013.jpg,real_ffhq_real_00205_000013.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00207.png,GAN|ffhq_real|00207,00207.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00207_000014.jpg,real_ffhq_real_00207_000014.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00221.png,GAN|ffhq_real|00221,00221.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00221_000015.jpg,real_ffhq_real_00221_000015.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00273.png,GAN|ffhq_real|00273,00273.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00273_000016.jpg,real_ffhq_real_00273_000016.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00282.png,GAN|ffhq_real|00282,00282.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00282_000017.jpg,real_ffhq_real_00282_000017.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00287.png,GAN|ffhq_real|00287,00287.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00287_000018.jpg,real_ffhq_real_00287_000018.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00320.png,GAN|ffhq_real|00320,00320.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00320_000019.jpg,real_ffhq_real_00320_000019.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00336.png,GAN|ffhq_real|00336,00336.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00336_000020.jpg,real_ffhq_real_00336_000020.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00350.png,GAN|ffhq_real|00350,00350.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00350_000021.jpg,real_ffhq_real_00350_000021.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00371.png,GAN|ffhq_real|00371,00371.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00371_000022.jpg,real_ffhq_real_00371_000022.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00395.png,GAN|ffhq_real|00395,00395.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00395_000023.jpg,real_ffhq_real_00395_000023.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00403.png,GAN|ffhq_real|00403,00403.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00403_000024.jpg,real_ffhq_real_00403_000024.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00425.png,GAN|ffhq_real|00425,00425.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00425_000025.jpg,real_ffhq_real_00425_000025.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00433.png,GAN|ffhq_real|00433,00433.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00433_000026.jpg,real_ffhq_real_00433_000026.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00455.png,GAN|ffhq_real|00455,00455.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00455_000027.jpg,real_ffhq_real_00455_000027.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00463.png,GAN|ffhq_real|00463,00463.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00463_000028.jpg,real_ffhq_real_00463_000028.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00464.png,GAN|ffhq_real|00464,00464.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00464_000029.jpg,real_ffhq_real_00464_000029.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00485.png,GAN|ffhq_real|00485,00485.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00485_000030.jpg,real_ffhq_real_00485_000030.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00500.png,GAN|ffhq_real|00500,00500.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00500_000031.jpg,real_ffhq_real_00500_000031.jpg
