epoch,stage,train_loss,lr,accuracy,precision,recall,specificity,f1,f1_macro,balanced_accuracy,tn,fp,fn,tp,fpr,fnr,eer,auc,pr_auc,loss
1,1,0.557925269416652,0.0002967330663097039,0.6327971753628874,0.8218065468865371,0.6157108611469666,0.6744604316546763,0.7039848197343453,0.6102568726770901,0.6450856464008214,1500,724,2084,3339,0.3255395683453237,0.3842891388530334,0.3502629023463877,0.7256126317828273,0.8492897250190337,0.615066147425821
2,1,0.5168251672695423,0.00028707504591756876,0.675166732051785,0.8273557585208287,0.6848607781670663,0.6515287769784173,0.7493946731234867,0.6439281057925126,0.6681947775727417,1449,775,1709,3714,0.34847122302158273,0.3151392218329338,0.3299749468358192,0.739577183910257,0.8558872862716836,0.5931856864548141
3,1,0.5032307891716511,0.0002714480406590546,0.7002746174970577,0.8398089863251573,0.7134427438687073,0.6681654676258992,0.7714855433698903,0.6680376045116929,0.6908041057473033,1486,738,1554,3869,0.3318345323741007,0.2865572561312926,0.3114047117460006,0.7637104220367021,0.8720896622412274,0.5739114313394054
4,1,0.48893632186625224,0.0002505350256506493,0.6870668235909507,0.8533115671641791,0.6747187903374516,0.7171762589928058,0.7535784162290187,0.6624779059472158,0.6959475246651288,1595,629,1764,3659,0.28282374100719426,0.3252812096625484,0.30251177538515006,0.7788743604047244,0.8811452482997442,0.5806451455992125
5,1,0.4849782727663992,0.00022524999999999995,0.7116516280894468,0.844244758237056,0.7276415268301678,0.6726618705035972,0.781618302466079,0.6786675310675594,0.7001516986668825,1496,728,1477,3946,0.3273381294964029,0.2723584731698322,0.30396425529685045,0.7756781252114295,0.8808970192500882,0.5652247550979508
6,1,0.47790942594335584,0.0001966980406590546,0.6278279063685105,0.8669894616918257,0.5613129264244883,0.7900179856115108,0.6814416834564585,0.6169787033634494,0.6756654560179995,1757,467,2379,3044,0.2099820143884892,0.43868707357551173,0.30684015391411745,0.7771585055392898,0.88063636564606,0.6217008518174191
7,1,0.4749939218320786,0.00016612700525851418,0.6429972538250294,0.8751741432153803,0.579199704960354,0.7985611510791367,0.6970705725699068,0.6312477982238264,0.6888804280197454,1776,448,2282,3141,0.2014388489208633,0.42080029503964594,0.3029209953077553,0.7875595982738058,0.8878162813750041,0.6153016257351546
8,1,0.46449968107647666,0.00013487299474148582,0.6483588335294886,0.8567327766179541,0.6053844735386318,0.7531474820143885,0.7094543490005403,0.632090976454236,0.6792659777765102,1675,549,2140,3283,0.2468525179856115,0.39461552646136827,0.3091110736710282,0.7742323198420795,0.8805769143127361,0.609661573689561
9,1,0.46261452785434226,0.00010430195934094536,0.7009284686805283,0.8402777777777778,0.7139959432048681,0.6690647482014388,0.772006778985146,0.6687318713470287,0.6915303457031534,1488,736,1551,3872,0.33093525179856115,0.28600405679513186,0.31198697228829514,0.7728404497497336,0.8783127649433817,0.566200351828498
10,1,0.45895382206176555,7.575000000000003e-05,0.676082123708644,0.8649653121902874,0.643739627512447,0.7549460431654677,0.7381329950311872,0.6568128556989699,0.6993428353389572,1679,545,1932,3491,0.24505395683453238,0.356260372487553,0.29318055789556074,0.8014620066808438,0.8960901486320482,0.5730169829479523
11,1,0.45456462781837004,5.046497434935074e-05,0.688374525957892,0.8431151241534989,0.6887331735201918,0.6875,0.7581447274941642,0.6600868831369001,0.6881165867600959,1529,695,1688,3735,0.3125,0.31126682647980825,0.3118834132399041,0.7739942749838484,0.8790628100552786,0.5727455526087601
12,1,0.45580681759987307,2.955195934094537e-05,0.6614358571989015,0.8786745056119722,0.6063064724322331,0.795863309352518,0.7175122749590834,0.6475471311163503,0.7010848908923756,1770,454,2135,3288,0.20413669064748202,0.39369352756776693,0.2852613999525071,0.804453528270874,0.8966997640543544,0.5895360258512752
13,1,0.44732683563551207,1.3924954082431153e-05,0.6684974499803845,0.8540951446787641,0.6422644292826849,0.7324640287769785,0.7331859804231133,0.64779444023745,0.6873642290298316,1629,595,1940,3483,0.2675359712230216,0.35773557071731515,0.3106557534720886,0.7822281313801991,0.8846173335706449,0.5879784098158822
14,1,0.44668550163318704,4.26693369029605e-06,0.6664051261932784,0.8581047381546134,0.6345196385764337,0.7441546762589928,0.729566415774409,0.647158229214623,0.6893371574177132,1655,569,1982,3441,0.2558453237410072,0.36548036142356627,0.3026039752745102,0.7816398181473262,0.8838160321294484,0.5914300428144414
15,1,0.44832015373101125,1e-06,0.6827514057800445,0.8641555285540705,0.6557256131292643,0.7486510791366906,0.7456489830153072,0.6620878688530323,0.7021883461329774,1665,559,1867,3556,0.25134892086330934,0.34427438687073575,0.29267913808359547,0.7908824424878316,0.8894714810577984,0.5788771778099581
16,2,0.42674371642096626,4.9901370202883365e-05,0.7497057669674382,0.8918918918918919,0.7363083164300203,0.7823741007194245,0.8066666666666666,0.7259139784946236,0.7593412085747224,1740,484,1430,3993,0.21762589928057555,0.26369168356997974,0.2368648737657486,0.85880291709837,0.9289107305313179,0.5014925879642232
17,2,0.35613228186681856,4.960627492066643e-05,0.679220609389303,0.9339567504383401,0.5893416927899686,0.8983812949640287,0.7226681741096664,0.6711495623223165,0.7438614938769987,1998,226,2227,3196,0.10161870503597123,0.4106583072100313,0.21628895942806883,0.8809520749618267,0.9418554114625516,0.5646043198921953
